ID,activity,deliverable_ID,createdAt,createdBy,modifiedAt,modifiedBy
1,Define Scope,9e3f5c91-b2d8-4c92-a8bb-d0d9c8f1d63a,2024-09-01T10:10:00Z,user1,2024-09-02T12:10:00Z,user2
2,Prepare Requirements,b25d5d21-ef5c-4d12-8e6e-51f2b48cdd0e,2024-09-01T11:10:00Z,user1,2024-09-02T13:10:00Z,user2
3,Design Architecture,e6d90d88-3c8a-44b0-8d1d-342c9dff62d4,2024-09-01T12:10:00Z,user1,2024-09-02T14:10:00Z,user2
4,Write Test Cases,d39b28f7-7b45-4378-bb2f-dfb2826d2f4b,2024-09-01T13:10:00Z,user1,2024-09-02T15:10:00Z,user2
5,Prepare Deployment Plan,7b6917b0-5c1c-4b9b-ae48-7a1e493cf64a,2024-09-01T14:10:00Z,user1,2024-09-02T16:10:00Z,user2
6,Write User Manual,3a7f6b14-733d-4b8d-b730-930a060a2d8d,2024-09-01T15:10:00Z,user3,2024-09-02T17:10:00Z,user4
7,Prepare Training Materials,f0f5728b-d95b-4032-b847-e35fc037c227,2024-09-01T16:10:00Z,user3,2024-09-02T18:10:00Z,user4
8,Compile Final Report,b99f89a2-41f2-4c63-868e-205a9d7d8e2e,2024-09-01T17:10:00Z,user3,2024-09-02T19:10:00Z,user4
9,Finalize Deployment Checklist,a4b1d8d1-f06b-4eec-bc7d-7cbd7b489b94,2024-09-01T18:10:00Z,user3,2024-09-02T20:10:00Z,user4
10,Conduct Post-Deployment Review,8e04a7b5-4197-4c65-87d0-34413d492d56,2024-09-01T19:10:00Z,user3,2024-09-02T21:10:00Z,user4
