ID,deliverable,phase_ID,createdAt,createdBy,modifiedAt,modifiedBy
9e3f5c91-b2d8-4c92-a8bb-d0d9c8f1d63a,Project Plan,550e8400-e29b-41d4-a716-446655440000,2024-09-01T10:00:00Z,user1,2024-09-02T12:00:00Z,user2
b25d5d21-ef5c-4d12-8e6e-51f2b48cdd0e,Requirements Document,550e8400-e29b-41d4-a716-446655440000,2024-09-01T11:00:00Z,user1,2024-09-02T13:00:00Z,user2
e6d90d88-3c8a-44b0-8d1d-342c9dff62d4,Design Document,550e8400-e29b-41d4-a716-446655440002,2024-09-01T12:00:00Z,user1,2024-09-02T14:00:00Z,user2
d39b28f7-7b45-4378-bb2f-dfb2826d2f4b,Test Cases,550e8400-e29b-41d4-a716-446655440003,2024-09-01T13:00:00Z,user1,2024-09-02T15:00:00Z,user2
7b6917b0-5c1c-4b9b-ae48-7a1e493cf64a,Deployment Plan,550e8400-e29b-41d4-a716-446655440004,2024-09-01T14:00:00Z,user1,2024-09-02T16:00:00Z,user2
3a7f6b14-733d-4b8d-b730-930a060a2d8d,User Manual,550e8400-e29b-41d4-a716-446655440005,2024-09-01T15:00:00Z,user3,2024-09-02T17:00:00Z,user4
f0f5728b-d95b-4032-b847-e35fc037c227,Training Materials,550e8400-e29b-41d4-a716-446655440002,2024-09-01T16:00:00Z,user3,2024-09-02T18:00:00Z,user4
b99f89a2-41f2-4c63-868e-205a9d7d8e2e,Final Report,550e8400-e29b-41d4-a716-446655440003,2024-09-01T17:00:00Z,user3,2024-09-02T19:00:00Z,user4
a4b1d8d1-f06b-4eec-bc7d-7cbd7b489b94,Deployment Checklist,550e8400-e29b-41d4-a716-446655440004,2024-09-01T18:00:00Z,user3,2024-09-02T20:00:00Z,user4
8e04a7b5-4197-4c65-87d0-34413d492d56,Post-Deployment Review,550e8400-e29b-41d4-a716-446655440005,2024-09-01T19:00:00Z,user3,2024-09-02T21:00:00Z,user4
